segment_date,customer_id,customer_descriptive_name,campaign_id,campaign_name,country_criterion_id,segment_device,impressions,clicks,cost_micros
2023-10-01,"19977995274",SEM,"11037608",cur_sem_all_web_py,2840,DESKTOP,199,8,17952006.50
2023-10-01,"19977995274",SEM,"11037608",cur_sem_all_web_py,2124,DESKTOP,5,2,1845000.00
2023-10-01,"19977995274",SEM,"11037608",cur_sem_all_web_py,2840,DESKTOP,6,2,1730000.00
2023-10-01,"19977995274",SEM,"11037608",cur_sem_all_web_py,2124,DESKTOP,4,2,3085000.00
2023-10-01,"19977995274",SEM,"11037608",cur_sem_all_web_py,2840,DESKTOP,28,5,10792116.00
2023-10-01,"19977995274",SEM,"11037608",cur_sem_all_web_py,2124,MOBILE,36,1,415000.00
2023-10-01,"19977995274",SEM,"11037608",cur_sem_all_web_py,2840,MOBILE,91,5,3345480.50
2023-10-01,"19977995274",SEM,"11037608",cur_sem_all_web_py,2124,MOBILE,3,1,110000.00
2023-10-01,"19977995274",SEM,"11037608",cur_sem_all_web_py,2840,MOBILE,32,5,2520000.00
2023-10-01,"19977995274",SEM,"11037608",cur_sem_all_web_py,2124,DESKTOP,180,5,11700000.00
2023-10-01,"19977995274",SEM,"11945415",stu_sem_all_web_multiple,2616,DESKTOP,1,1,810000.00
2023-10-01,"19977995274",SEM,"11945415",stu_sem_all_web_multiple,2616,TABLET,1,1,445000.00
2023-10-01,"19977995274",SEM,"11945415",stu_sem_all_web_multiple,2616,MOBILE,4,1,395000.00
2023-10-01,"19977995274",SEM,"11945415",stu_sem_all_web_multiple,2616,MOBILE,2,1,625000.00
2023-10-01,"19977995274",SEM,"11945415",stu_sem_all_web_multiple,2616,MOBILE,5,1,360000.00
2023-10-01,"19977995274",SEM,"11945415",stu_sem_all_web_multiple,2616,MOBILE,14,1,620000.00
2023-10-01,"19977995274",SEM,"11945415",stu_sem_all_web_multiple,2616,DESKTOP,12,1,1335000.00
2023-10-01,"19977995274",SEM,"11945415",stu_sem_all_web_multiple,2616,MOBILE,8,1,325000.00
2023-10-01,"19977995274",SEM,"11945415",stu_sem_all_web_multiple,2616,MOBILE,24,2,1430000.00
2023-10-01,"19977995274",SEM,"11945415",stu_sem_all_web_multiple,2616,MOBILE,40,3,2520000.00
2023-10-01,"19977995274",SEM,"11945415",stu_sem_all_web_multiple,2616,DESKTOP,1,1,195000.00
2023-10-01,"19977995274",SEM,"11945415",stu_sem_all_web_multiple,2616,TABLET,1,1,335000.00
2023-10-01,"19977995274",SEM,"11945415",stu_sem_all_web_multiple,2616,DESKTOP,1,1,2105000.00
2023-10-01,"19977995274",SEM,"11945415",stu_sem_all_web_multiple,2616,DESKTOP,2,1,1055000.00
2023-10-01,"19977995274",SEM,"11945415",stu_sem_all_web_multiple,2616,DESKTOP,12,1,985000.00
2023-10-01,"19977995274",SEM,"11945415",stu_sem_all_web_multiple,2616,DESKTOP,10,1,2215000.00
2023-10-01,"19977995274",SEM,"11945415",stu_sem_all_web_multiple,2616,DESKTOP,7,1,2230000.00
2023-10-01,"19977995274",SEM,"11945415",stu_sem_all_web_multiple,2616,MOBILE,2,1,1115000.00
2023-10-01,"19977995274",SEM,"11945415",stu_sem_all_web_multiple,2616,DESKTOP,4,1,4220000.00
2023-10-01,"19977995274",SEM,"11945415",stu_sem_all_web_multiple,2616,DESKTOP,1,1,840000.00
2023-10-01,"19977995274",SEM,"11945415",stu_sem_all_web_multiple,2616,MOBILE,162,5,3675000.00
2023-10-01,"19977995274",SEM,"11945415",stu_sem_all_web_multiple,2616,MOBILE,2,1,215000.00
2023-10-01,"19977995274",SEM,"11945415",stu_sem_all_web_multiple,2616,MOBILE,3,1,935000.00
2023-10-01,"19977995274",SEM,"11945415",stu_sem_all_web_multiple,2616,MOBILE,3,1,325000.00
2023-10-01,"19977995274",SEM,"11945415",stu_sem_all_web_multiple,2616,MOBILE,3,1,570000.00
2023-10-01,"19977995274",SEM,"11945415",stu_sem_all_web_multiple,2616,MOBILE,45,1,1235000.00
2023-10-01,"19977995274",SEM,"11945415",stu_sem_all_web_multiple,2616,MOBILE,11,2,1285000.00
2023-10-01,"19977995274",SEM,"11945415",stu_sem_all_web_multiple,2616,MOBILE,7,1,165000.00
2023-10-01,"19977995274",SEM,"11945415",stu_sem_all_web_multiple,2616,MOBILE,17,1,915000.00
2023-10-01,"19977995274",SEM,"11945415",stu_sem_all_web_multiple,2616,MOBILE,19,1,1635000.00
2023-10-01,"19977995274",SEM,"11945415",stu_sem_all_web_multiple,2616,MOBILE,17,1,340000.00
2023-10-01,"19977995274",SEM,"11945415",stu_sem_all_web_multiple,2616,MOBILE,56,2,1315000.00
2023-10-01,"19977995274",SEM,"11945415",stu_sem_all_web_multiple,2616,DESKTOP,1,1,835000.00
